Name,I_ID
"""R"" ISOMER LIPOIC ACID",8
"""SUPERHYDRATION"" PHOSPHATE ELECTROLYTE CATALYST",398
#PROBIOTIC BLEND,149
& 142 MG OMEGA 9,
"& 2,000 IU AS VITAMIN A PALMITATE",201
& 2500 IU {VITAMIN A} PALMITATE,201
& 2500 MCG OF HYDRASTINE,
& 55 MG PHOSPHATIDYLCHOLINE,
& AS CALCIUM ASCORBATE,
& FROM ROSEHIPS,118
& SODIUM PHOSPHATE,1021
&5000 MCG OF BERBERINE,1060
'HIACTIVES' BRUSSEL SPROUT POWDER,1188
'HIACTIVES' CARROT POWDER,373
'HIACTIVES' KALE POWDER,2285
'HIACTIVES' SPINACH POWDER,1609
'HIACTIVES' TOMATO POWDER,621
((2S)-3-(4-CYANOPHENOXY)-N-[4-CYANO-3-(TRIFLUROMETHYL)PHENYL]-2-METHYLPROPANAMIDE),
(-) HYDROXYCITRIC ACID,2324
(-)-HYDROXYCITRIC ACID,
(-)-HYDROXYCITRIC ACID SUPERCITRIMAX(R) CHROMIUM,
(-)EPIGALLOCATECHIN-3-0-GALLATE,81
(-)EPIGALLOCATECHIN-3-O-GALLATE,
(-)HYDROXYCITRIC ACID,413
"(2R,3R)-2,3-BIS[(4-HYDROXY-3-METHOXYPHENYL)METHYL] BUTANE-1,4-DIOL;(2R,3R,4S,5S,6R)- 6-(HYDROXYMETHYL)OXANE-2,3,4,5-TETROL",1625
"(2R,3R,4S,5S,6R)-6- (HYDROXYMETHYL)OXANE-2,3,4,5-TETROL, S)-5-HYDROXY-1-(4-HYDROXY-3-METHOXYPHENYL)-3-DECANONE",576
(2S)-3-(4-CYANOPHENOXY)-N-[4-CYANO-3-(TRIFLUOROMETHYL)PHENYL]-2-HYDROXY-2-METHYLPROPANAMIDE,1775
"(3S,4S)-4-[(3,4-DIMETHOXYPHENYL)METHYL]-3-HYDROXY-3-[[3-METHOXY-4-[(2S,3R,4S,5R,6R)-3,4,5-TRIHYDROXY-6-(HYDROXYMETHYL) OXAN-2-YL]OXY- PHENYL]METHYL]OXOLAN-2-ONE,(2R,3R)-2,3-BIS[(4-HYDROXY-3-METHOXYPHENYL)METHYL]BUTANE-1,4-DIOL",577
"(3S,4S)-4-[(3,4-DIMETHOXYPHENYL)METHYL]-3-HYDROXY-3-[[3-METHOXY-4-[(2S,3R,4S,5R,6R)-3,4,5-TRIHYDROXY-6-(HYDROXYMETHYL)OXAN-2-YL]OXY-PHENYL]METHYL]OXOLAN-2-ONE",1624
(6S)-5-METHYLTETRAHYDROFOLATE,
(6S)-5-METHYLTETRAHYDROFOLIC ACID,
(6S)-N5-METHYLTETRAHYDROFOLIC ACID CALCIUM SALT,
(AS BETA CAROTENE),1016
(BLEND),398
(CNS) STIMULATION / FOCUS COCKTAIL,398
(D)-ASPARAGINIC ACID,
"(E)-5-(4-HYDROXYSTYRYL)BENZENE-1,3-DIOL",438
(MEPFE-2) MITOCHONDRIAL BIOGENIC AGENT,149
(NUTRITROPHIC CORE LEVEL PROCESS GLANDS),800
(OMEGA-3 FATTY ACIDS FROM FISH OIL AND FLAXSEED OIL),800
(PROPRIETARY BLEND),398
(R)-LIPOIC ACID,8
(RS)-4-AMINO-3-PHENYL-BUTYRIC ACID,
"(S)-2,3-DIHYDRO-5,7- DIHYDROXY-2-(3-HYDROXY- 4-METHOXYPHENYL)-4H-1- BENZOPY-RAN-4-ONE",83
"(S)-2-AMINO-3-(3,4-DIHYDROXYPHENYL)",
(S)-2-AMINO-5-GUANIDINOPENTANOIC ACID,
(S)-2-AMINO-5-GUANIDINOPENTANOIC ACID HCL,
(S)-5-HYDROXY-1-(4-HYDROXY-3-METHOXYPHENYL)-3-DECANONE,1626
(TYPICAL AMINO ACID PROFILE),800
(Z)-N-(2-HYDROXYETHYL)OCTADEC-9-ENAMIDE,
(–)-HYDROXYCITRIC ACID,
.48 MG HYDROETHANOLIC EXTRACT,
0-(BETA-HYDROXYETHYL)-RUTOSIDES,
0.016 MG OF ISOFLAVONOIDS,
0.016 MG OF MIROESTROL,
0.12 MG ORGANIC SUPERCRITICAL EXTRACT,
0.15 MG IODINE,
0.15% PIPERINE,
0.2 MG ORGANIC SUPERCRITICAL EXTRACT,
0.2 MG ORGANIC {GINGER} SUPERCRITICAL EXTRACT,70
0.2 MG {TURMERIC} SUPERCRITICAL EXTRACT,48
0.25 MG {TURMERIC} SUPERCRITICAL EXTRACT,
0.3 ADENOSINE,496
0.3 MG ORGANIC SUPERCRITICAL EXTRACT,
0.3% HYPERICIN 3% HYPERFORIN,
0.35-1% TOTAL ANTHOCYANOSIDES,
0.4 MG ORGANIC SUPERCRITICAL EXTRACT,
0.4 MG SUPERCRITICAL EXTRACT,
0.4% URSOLIC ACID AND OLEANOLIC ACID,
0.48 MG POWDER,
0.6 MG HYDROETHANOLIC {GINGER} EXTRACT,
0.75-1.5% PROCYANIDIN OLIGOMERS,
0.8 MG HYDROETHANOLIC EXTRACT,
0.8 MG ORGANIC {GINGER} SUPERCRITICAL EXTRACT,70
0.8 MG POWDER,
0.8 MG SUPERCRITICAL {TURMERIC} EXTRACT,48
0.8 MG {GINGER} HYDROETHANOLIC EXTRACT,
0.8 MG {GINGER} SUPERCRITICAL EXTRACT,70
0.8 MG {TURMERIC} POWDER,48
0.8% ELEUTHEROSIDES,406
0.8% VALERENIC ACIDS,131
1 G GDU OF BROMELAIN,
1 G PROTEIN,
1 MG AS {BORON} GLYCINATE,24
1 MG BORON,24
1 MG DESOXYRHAPONTICIN,
1 MG LYCOPENE,164
1 MG OF AJOENE AND DITHIINS,398
1 MG OF LYCOPENE,164
1 MG {TURMERIC} POWDER,
1% AS PHOSPHATIDYL SERINE,91
1% BITTERS,
1% COROSOLIC ACID,14
1% CURCUMINOIDS,
1% HYDROXY CITRIC ACID,
1% SALIDROSIDES,1604
"1, 3, N-DIPROPYL-7- PROPARGLYXANTHINE",274
"1, 3-N-DIPROPYL-7-PROPARGYLXANTHINE",274
"1,000 IU FROM MIXED CAROTENES",
"1,000 MG CALCIUM",
"1,000 MG CORAL CALCIUM",
"1,000 MG OF A PROPRIETARY BLEND",149
"1,000MG OF SAW PALMETTO",121
"1,023 MG ELEMENTAL SULFUR",1352
"1,050 MG OF CATECHINS",119
"1,123 MG OF TOTAL OMEGA-3 FATTY ACIDS",94
"1,200 MG OF POLYPHENOLS",186
"1,3 DIMETHYLAMYLAMINE",1227
"1,3 DIMETHYLAMYLAMINE HCL",1227
"1,3 DIMETHYLPENTYLAMINE",1227
"1,3 DIMETHYLXANTHINE",
"1,3, 7-TRIMETHYL-H-PURINE-2,6(3H, 7H)-DIONE",
"1,3, N-DIPROPYL-7-PROPARGLYXANTHINE",274
"1,3,7-TRIMETHYL-1H-PURINE-2,6(3H,7H)-DIONE",367
"1,3,7-TRIMETHYLXANTHINE",367
"1,3-DIMETHYAMYLAMINE",
"1,3-DIMETHYLAMINE HCL",
"1,3-DIMETHYLAMYLAMINE",1227
"1,3-DIMETHYLAMYLAMINE HCL",1227
"1,3-DIMETHYLPENTYLAIMINE HYDROCHLORIDE",1227
"1,3-DIMETHYLPENTYLAMINE HCL",1227
"1,3-N-DIPROPYL-7-PROPARGYLXANTHINE",274
"1,4,6 ANDROSTATRIENE",
"1,433 MG OF TOTAL OMEGA-3 FATTY ACIDS",94
"1,500 MG CONJUGATED LINOLEIC ACID",1537
"1,500 MG HERBAL EXTRACT POWDER",
"1,560 IU FROM BETA CAROTENE",1016
"1,667 MCG ALLICIN POTENTIAL",4
"1,700 MG OLEIC ACID",
"1,9-BIS(4-HYDROXY-3-METHOXYPHENYL)-2,7-NONADIENE-4,6-DIONE",275
"1-ADROSTENE-3B-OL, 17-ONE",
1-AMINO-2-PHENYLETHANE,
1-ANDRO PROPRIETARY BLEND,149
1-ANDRO RDE(TM) PROPRIETARY BLEND,149
"1-ANDROSTENE-3B-OL,17-ONE",
1-ANDROSTERONE,
1-ANDROSTERONE(TM),
"1-ANDROSTERONE-3B-OL,17-ONE",
1-DEOXYNOJIRIMYCIN,1116
1-METHYL CAFFEINE,367
1-OCTOCOSANOL,
1.125 MG TOCOTRIENOLS,50
1.2 MG HYDROETHANOLIC EXTRACT,
1.2 MG ORGANIC SUPERCRITICAL EXTRACT,
1.2 MG ORGANIC {GINGER} SUPERCRITICAL EXTRACT,70
1.2 MG POWDER,
1.5% URSOLIC ACID,
1.6 MG HYDROETHANOLIC EXTRACT,
1.6 MG POWDER,
1.65% ANTHOCYANINS,
1.67 MG CHROMIUM PICOLINATE,41
1.8 MG SALIDROSIDES,
1.8 MG VALERENIC ACID DERIVATIVES,
10 MG AS NIACIN,204
10 MG BERBERINE,1060
10 MG CAFFEINE,
10 MG CAFFEINE FROM GREEN TEA EXTRACT,367
10 MG EPISTENE,
10 MG FORSKOLIN,151
10 MG FROM MAGNESIUM ASPARTATE,82
10 MG HYDROETHANOLIC EXTRACT,
10 MG MAGNESIUM,82
10 MG OF ELEMENTAL ZINC,137
10 MG OF TOTAL ALKYLAMIDES FROM COMBINED SUPERCRITICAL EXTRACTS,
10 MG OF TOTAL OMEGA-6 FATTY ACIDS,95
10 MG S. CEREVISIAE,362
10 MG SUPERCRITICAL EXTRACT,
10 MG UNDENATURED TYPE II COLLAGEN,391
10 MG {GARLIC} SUPERCRITICAL EXTRACT,4
10 SUPERFOODS BLEND,
10 SUPERFOODS PROPRIETARY BLEND,149
10% CAFFEINE,367
10% HYALURONIC ACID,
10% POLYPHENOLS,186
10% RUSCOGENINS,1605
10% TRITERPENES,1613
10-13% HYALURONIC ACID,467
10-HDA,1271
10-HYDROXY-2-DECENOIC ACID,589
10-HYDROXYDECENOIC ACID,589
10-UNDECENOIC ACID,
10-UNDECENOIC ACID CALCIUM,
100 % PURE NONI FRUIT POWDER,301
"100 MCG AS (6S)-5-METHYLTETRAHYDROFOLIC ACID, GLUCOSAMINE SALT",
100 MCG AS ADENOSYLCOBALAMIN,1612
